item;BA S/E SANTA LUISA 154KV BP1;addValue
2022-01-01 01;7840;78,4
2022-01-01 02;8977;89,77
2022-01-01 03;18000;180
2022-01-01 04;14585;145,85
2022-01-01 05;11583;115,83
2022-01-01 06;11583;115,83
2022-01-01 07;10356;103,56
2022-01-01 08;5166;51,66
2022-01-01 09;0;0
2022-01-01 10;0;0
2022-01-01 11;0;0
2022-01-01 12;0;0
2022-01-01 13;0;0
2022-01-01 14;0;0
2022-01-01 15;0;0
2022-01-01 16;0;0
2022-01-01 17;0;0
2022-01-01 18;0;0
2022-01-01 19;0;0
2022-01-01 20;1494;14,94
2022-01-01 21;9031;90,31
2022-01-01 22;7116;71,16
2022-01-01 23;7712;77,12
2022-01-01 24;6963;69,63
2022-01-02 01;7153;71,53
2022-01-02 02;6550;65,5
2022-01-02 03;6536;65,36
2022-01-02 04;6554;65,54
2022-01-02 05;6554;65,54
2022-01-02 06;7076;70,76
2022-01-02 07;9677;96,77
2022-01-02 08;3949;39,49
2022-01-02 09;73;0,73
2022-01-02 10;0;0
2022-01-02 11;0;0
2022-01-02 12;0;0
2022-01-02 13;0;0
2022-01-02 14;0;0
2022-01-02 15;0;0
2022-01-02 16;0;0
2022-01-02 17;0;0
2022-01-02 18;0;0
2022-01-02 19;0;0
2022-01-02 20;5685;56,85
2022-01-02 21;8301;83,01
2022-01-02 22;8272;82,72
2022-01-02 23;7101;71,01
2022-01-02 24;7272;72,72
2022-01-03 01;8583;85,83
2022-01-03 02;8583;85,83
2022-01-03 03;8583;85,83
2022-01-03 04;8583;85,83
2022-01-03 05;8583;85,83
2022-01-03 06;8583;85,83
2022-01-03 07;10886;108,86
2022-01-03 08;11389;113,89
2022-01-03 09;6178;61,78
2022-01-03 10;5730;57,3
2022-01-03 11;7029;70,29
2022-01-03 12;7029;70,29
2022-01-03 13;7720;77,2
2022-01-03 14;7256;72,56
2022-01-03 15;7777;77,77
2022-01-03 16;6942;69,42
2022-01-03 17;6027;60,27
2022-01-03 18;6027;60,27
2022-01-03 19;5842;58,42
2022-01-03 20;10103;101,03
2022-01-03 21;15042;150,42
2022-01-03 22;16930;169,3
2022-01-03 23;16256;162,56
2022-01-03 24;7701;77,01
2022-01-04 01;7721;77,21
2022-01-04 02;9511;95,11
2022-01-04 03;9511;95,11
2022-01-04 04;9566;95,66
2022-01-04 05;12807;128,07
2022-01-04 06;12807;128,07
2022-01-04 07;12807;128,07
2022-01-04 08;11868;118,68
2022-01-04 09;4962;49,62
2022-01-04 10;4586;45,86
2022-01-04 11;4586;45,86
2022-01-04 12;4676;46,76
2022-01-04 13;4706;47,06
2022-01-04 14;4706;47,06
2022-01-04 15;4706;47,06
2022-01-04 16;7436;74,36
2022-01-04 17;10100;101
2022-01-04 18;5335;53,35
2022-01-04 19;4588;45,88
2022-01-04 20;7393;73,93
2022-01-04 21;9528;95,28
2022-01-04 22;8710;87,1
2022-01-04 23;7385;73,85
2022-01-04 24;7755;77,55
2022-01-05 01;8277;82,77
2022-01-05 02;7021;70,21
2022-01-05 03;7025;70,25
2022-01-05 04;7053;70,53
2022-01-05 05;7053;70,53
2022-01-05 06;7053;70,53
2022-01-05 07;7053;70,53
2022-01-05 08;6240;62,4
2022-01-05 09;3508;35,08
2022-01-05 10;3532;35,32
2022-01-05 11;3691;36,91
2022-01-05 12;4705;47,05
2022-01-05 13;4705;47,05
2022-01-05 14;4705;47,05
2022-01-05 15;9753;97,53
2022-01-05 16;15176;151,76
2022-01-05 17;15176;151,76
2022-01-05 18;11147;111,47
2022-01-05 19;4592;45,92
2022-01-05 20;9862;98,62
2022-01-05 21;13847;138,47
2022-01-05 22;11896;118,96
2022-01-05 23;10555;105,55
2022-01-05 24;8849;88,49
2022-01-06 01;8201;82,01
2022-01-06 02;7304;73,04
2022-01-06 03;7862;78,62
2022-01-06 04;6816;68,16
2022-01-06 05;7007;70,07
2022-01-06 06;7665;76,65
2022-01-06 07;7701;77,01
2022-01-06 08;7516;75,16
2022-01-06 09;4206;42,06
2022-01-06 10;3505;35,05
2022-01-06 11;3505;35,05
2022-01-06 12;4640;46,4
2022-01-06 13;11460;114,6
2022-01-06 14;11932;119,32
2022-01-06 15;12534;125,34
2022-01-06 16;14949;149,49
2022-01-06 17;15169;151,69
2022-01-06 18;12076;120,76
2022-01-06 19;9128;91,28
2022-01-06 20;10136;101,36
2022-01-06 21;10309;103,09
2022-01-06 22;10309;103,09
2022-01-06 23;8955;89,55
2022-01-06 24;8006;80,06
2022-01-07 01;7969;79,69
2022-01-07 02;9200;92
2022-01-07 03;7922;79,22
2022-01-07 04;9399;93,99
2022-01-07 05;18216;182,16
2022-01-07 06;18636;186,36
2022-01-07 07;18636;186,36
2022-01-07 08;17829;178,29
2022-01-07 09;6578;65,78
2022-01-07 10;4946;49,46
2022-01-07 11;7620;76,2
2022-01-07 12;8610;86,1
2022-01-07 13;5983;59,83
2022-01-07 14;5611;56,11
2022-01-07 15;5400;54
2022-01-07 16;5400;54
2022-01-07 17;5400;54
2022-01-07 18;5400;54
2022-01-07 19;5278;52,78
2022-01-07 20;9506;95,06
2022-01-07 21;12008;120,08
2022-01-07 22;16887;168,87
2022-01-07 23;19699;196,99
2022-01-07 24;19948;199,48
2022-01-08 01;20235;202,35
2022-01-08 02;19896;198,96
2022-01-08 03;19750;197,5
2022-01-08 04;19650;196,5
2022-01-08 05;17747;177,47
2022-01-08 06;17747;177,47
2022-01-08 07;17747;177,47
2022-01-08 08;13984;139,84
2022-01-08 09;6966;69,66
2022-01-08 10;5792;57,92
2022-01-08 11;5401;54,01
2022-01-08 12;6123;61,23
2022-01-08 13;5401;54,01
2022-01-08 14;4526;45,26
2022-01-08 15;3898;38,98
2022-01-08 16;3533;35,33
2022-01-08 17;3760;37,6
2022-01-08 18;5223;52,23
2022-01-08 19;7409;74,09
2022-01-08 20;9223;92,23
2022-01-08 21;18155;181,55
2022-01-08 22;21223;212,23
2022-01-08 23;21183;211,83
2022-01-08 24;20864;208,64
2022-01-09 01;20176;201,76
2022-01-09 02;20176;201,76
2022-01-09 03;19736;197,36
2022-01-09 04;14897;148,97
2022-01-09 05;14897;148,97
2022-01-09 06;14897;148,97
2022-01-09 07;14720;147,2
2022-01-09 08;9117;91,17
2022-01-09 09;6722;67,22
2022-01-09 10;5191;51,91
2022-01-09 11;5191;51,91
2022-01-09 12;2596;25,96
2022-01-09 13;0;0
2022-01-09 14;0;0
2022-01-09 15;0;0
2022-01-09 16;0;0
2022-01-09 17;0;0
2022-01-09 18;5191;51,91
2022-01-09 19;7418;74,18
2022-01-09 20;9406;94,06
2022-01-09 21;19137;191,37
2022-01-09 22;20520;205,2
2022-01-09 23;20520;205,2
2022-01-09 24;19159;191,59
2022-01-10 01;14879;148,79
2022-01-10 02;14879;148,79
2022-01-10 03;14879;148,79
2022-01-10 04;14761;147,61
2022-01-10 05;9914;99,14
2022-01-10 06;9555;95,55
2022-01-10 07;15161;151,61
2022-01-10 08;14803;148,03
2022-01-10 09;8829;88,29
2022-01-10 10;8260;82,6
2022-01-10 11;9378;93,78
2022-01-10 12;8143;81,43
2022-01-10 13;7384;73,84
2022-01-10 14;6851;68,51
2022-01-10 15;8557;85,57
2022-01-10 16;8125;81,25
2022-01-10 17;9223;92,23
2022-01-10 18;10333;103,33
2022-01-10 19;10314;103,14
2022-01-10 20;11398;113,98
2022-01-10 21;14347;143,47
2022-01-10 22;16879;168,79
2022-01-10 23;17151;171,51
2022-01-10 24;17151;171,51
2022-01-11 01;16835;168,35
2022-01-11 02;16835;168,35
2022-01-11 03;10711;107,11
2022-01-11 04;9542;95,42
2022-01-11 05;9542;95,42
2022-01-11 06;8835;88,35
2022-01-11 07;8798;87,98
2022-01-11 08;8127;81,27
2022-01-11 09;6442;64,42
2022-01-11 10;5323;53,23
2022-01-11 11;5323;53,23
2022-01-11 12;5333;53,33
2022-01-11 13;5424;54,24
2022-01-11 14;10105;101,05
2022-01-11 15;11736;117,36
2022-01-11 16;9877;98,77
2022-01-11 17;6462;64,62
2022-01-11 18;5851;58,51
2022-01-11 19;8271;82,71
2022-01-11 20;13435;134,35
2022-01-11 21;14549;145,49
2022-01-11 22;15083;150,83
2022-01-11 23;15083;150,83
2022-01-11 24;12542;125,42
2022-01-12 01;8850;88,5
2022-01-12 02;8405;84,05
2022-01-12 03;8337;83,37
2022-01-12 04;8337;83,37
2022-01-12 05;8337;83,37
2022-01-12 06;9313;93,13
2022-01-12 07;12016;120,16
2022-01-12 08;12883;128,83
2022-01-12 09;8093;80,93
2022-01-12 10;5700;57
2022-01-12 11;11304;113,04
2022-01-12 12;11969;119,69
2022-01-12 13;9867;98,67
2022-01-12 14;9867;98,67
2022-01-12 15;12653;126,53
2022-01-12 16;12800;128
2022-01-12 17;12800;128
2022-01-12 18;5790;57,9
2022-01-12 19;5533;55,33
2022-01-12 20;9095;90,95
2022-01-12 21;10557;105,57
2022-01-12 22;10557;105,57
2022-01-12 23;10557;105,57
2022-01-12 24;10557;105,57
2022-01-13 01;9324;93,24
2022-01-13 02;9127;91,27
2022-01-13 03;7893;78,93
2022-01-13 04;7843;78,43
2022-01-13 05;7432;74,32
2022-01-13 06;8136;81,36
2022-01-13 07;9534;95,34
2022-01-13 08;7229;72,29
2022-01-13 09;7524;75,24
2022-01-13 10;7031;70,31
2022-01-13 11;5420;54,2
2022-01-13 12;5420;54,2
2022-01-13 13;5420;54,2
2022-01-13 14;5420;54,2
2022-01-13 15;5420;54,2
2022-01-13 16;5420;54,2
2022-01-13 17;5420;54,2
2022-01-13 18;5420;54,2
2022-01-13 19;5300;53
2022-01-13 20;7329;73,29
2022-01-13 21;9300;93
2022-01-13 22;8226;82,26
2022-01-13 23;7568;75,68
2022-01-13 24;7464;74,64
2022-01-14 01;6834;68,34
2022-01-14 02;6796;67,96
2022-01-14 03;6788;67,88
2022-01-14 04;6788;67,88
2022-01-14 05;7103;71,03
2022-01-14 06;7646;76,46
2022-01-14 07;7646;76,46
2022-01-14 08;7289;72,89
2022-01-14 09;6912;69,12
2022-01-14 10;4958;49,58
2022-01-14 11;5372;53,72
2022-01-14 12;5380;53,8
2022-01-14 13;5426;54,26
2022-01-14 14;5426;54,26
2022-01-14 15;8291;82,91
2022-01-14 16;8237;82,37
2022-01-14 17;8393;83,93
2022-01-14 18;8216;82,16
2022-01-14 19;7166;71,66
2022-01-14 20;8067;80,67
2022-01-14 21;8030;80,3
2022-01-14 22;8104;81,04
2022-01-14 23;8195;81,95
2022-01-14 24;7452;74,52
2022-01-15 01;6769;67,69
2022-01-15 02;7188;71,88
2022-01-15 03;7188;71,88
2022-01-15 04;7435;74,35
2022-01-15 05;7568;75,68
2022-01-15 06;7568;75,68
2022-01-15 07;7568;75,68
2022-01-15 08;6715;67,15
2022-01-15 09;7138;71,38
2022-01-15 10;7523;75,23
2022-01-15 11;6300;63
2022-01-15 12;2613;26,13
2022-01-15 13;0;0
2022-01-15 14;0;0
2022-01-15 15;0;0
2022-01-15 16;0;0
2022-01-15 17;0;0
2022-01-15 18;0;0
2022-01-15 19;0;0
2022-01-15 20;6459;64,59
2022-01-15 21;7518;75,18
2022-01-15 22;7309;73,09
2022-01-15 23;6626;66,26
2022-01-15 24;6897;68,97
2022-01-16 01;7677;76,77
2022-01-16 02;7010;70,1
2022-01-16 03;6194;61,94
2022-01-16 04;6335;63,35
2022-01-16 05;7672;76,72
2022-01-16 06;7677;76,77
2022-01-16 07;7677;76,77
2022-01-16 08;6986;69,86
2022-01-16 09;963;9,63
2022-01-16 10;818;8,18
2022-01-16 11;5378;53,78
2022-01-16 12;5347;53,47
2022-01-16 13;1132;11,32
2022-01-16 14;59;0,59
2022-01-16 15;0;0
2022-01-16 16;0;0
2022-01-16 17;0;0
2022-01-16 18;0;0
2022-01-16 19;1634;16,34
2022-01-16 20;6552;65,52
2022-01-16 21;6847;68,47
2022-01-16 22;7660;76,6
2022-01-16 23;7815;78,15
2022-01-16 24;7253;72,53
2022-01-17 01;6768;67,68
2022-01-17 02;7279;72,79
2022-01-17 03;7018;70,18
2022-01-17 04;7441;74,41
2022-01-17 05;7596;75,96
2022-01-17 06;7596;75,96
2022-01-17 07;7596;75,96
2022-01-17 08;7463;74,63
2022-01-17 09;7106;71,06
2022-01-17 10;6839;68,39
2022-01-17 11;5660;56,6
2022-01-17 12;1846;18,46
2022-01-17 13;53;0,53
2022-01-17 14;115;1,15
2022-01-17 15;187;1,87
2022-01-17 16;187;1,87
2022-01-17 17;47;0,47
2022-01-17 18;0;0
2022-01-17 19;0;0
2022-01-17 20;7430;74,3
2022-01-17 21;7928;79,28
2022-01-17 22;8158;81,58
2022-01-17 23;7521;75,21
2022-01-17 24;7506;75,06
2022-01-18 01;7147;71,47
2022-01-18 02;6771;67,71
2022-01-18 03;6827;68,27
2022-01-18 04;7188;71,88
2022-01-18 05;7272;72,72
2022-01-18 06;7272;72,72
2022-01-18 07;7476;74,76
2022-01-18 08;6811;68,11
2022-01-18 09;5367;53,67
2022-01-18 10;556;5,56
2022-01-18 11;127;1,27
2022-01-18 12;127;1,27
2022-01-18 13;32;0,32
2022-01-18 14;0;0
2022-01-18 15;0;0
2022-01-18 16;4525;45,25
2022-01-18 17;5879;58,79
2022-01-18 18;3611;36,11
2022-01-18 19;0;0
2022-01-18 20;6546;65,46
2022-01-18 21;8331;83,31
2022-01-18 22;8203;82,03
2022-01-18 23;7143;71,43
2022-01-18 24;6759;67,59
2022-01-19 01;6768;67,68
2022-01-19 02;6818;68,18
2022-01-19 03;6818;68,18
2022-01-19 04;6848;68,48
2022-01-19 05;7411;74,11
2022-01-19 06;7533;75,33
2022-01-19 07;7533;75,33
2022-01-19 08;7257;72,57
2022-01-19 09;5014;50,14
2022-01-19 10;4105;41,05
2022-01-19 11;4105;41,05
2022-01-19 12;5223;52,23
2022-01-19 13;5429;54,29
2022-01-19 14;5429;54,29
2022-01-19 15;5429;54,29
2022-01-19 16;5429;54,29
2022-01-19 17;5429;54,29
2022-01-19 18;905;9,05
2022-01-19 19;0;0
2022-01-19 20;7974;79,74
2022-01-19 21;7661;76,61
2022-01-19 22;7645;76,45
2022-01-19 23;6969;69,69
2022-01-19 24;6704;67,04
2022-01-20 01;6528;65,28
2022-01-20 02;6585;65,85
2022-01-20 03;6522;65,22
2022-01-20 04;6549;65,49
2022-01-20 05;6799;67,99
2022-01-20 06;6897;68,97
2022-01-20 07;6880;68,8
2022-01-20 08;6647;66,47
2022-01-20 09;5274;52,74
2022-01-20 10;4109;41,09
2022-01-20 11;1712;17,12
2022-01-20 12;0;0
2022-01-20 13;0;0
2022-01-20 14;0;0
2022-01-20 15;452;4,52
2022-01-20 16;5427;54,27
2022-01-20 17;4523;45,23
2022-01-20 18;0;0
2022-01-20 19;0;0
2022-01-20 20;5670;56,7
2022-01-20 21;8217;82,17
2022-01-20 22;8160;81,6
2022-01-20 23;7384;73,84
2022-01-20 24;6981;69,81
2022-01-21 01;6989;69,89
2022-01-21 02;6822;68,22
2022-01-21 03;6872;68,72
2022-01-21 04;6993;69,93
2022-01-21 05;6911;69,11
2022-01-21 06;6854;68,54
2022-01-21 07;6909;69,09
2022-01-21 08;6495;64,95
2022-01-21 09;5310;53,1
2022-01-21 10;5310;53,1
2022-01-21 11;5310;53,1
2022-01-21 12;5310;53,1
2022-01-21 13;4206;42,06
2022-01-21 14;4466;44,66
2022-01-21 15;5422;54,22
2022-01-21 16;4518;45,18
2022-01-21 17;0;0
2022-01-21 18;0;0
2022-01-21 19;0;0
2022-01-21 20;6533;65,33
2022-01-21 21;8355;83,55
2022-01-21 22;8421;84,21
2022-01-21 23;8041;80,41
2022-01-21 24;8041;80,41
2022-01-22 01;6943;69,43
2022-01-22 02;6492;64,92
2022-01-22 03;6972;69,72
2022-01-22 04;7374;73,74
2022-01-22 05;7742;77,42
2022-01-22 06;7742;77,42
2022-01-22 07;7742;77,42
2022-01-22 08;7141;71,41
2022-01-22 09;1260;12,6
2022-01-22 10;0;0
2022-01-22 11;0;0
2022-01-22 12;0;0
2022-01-22 13;0;0
2022-01-22 14;0;0
2022-01-22 15;0;0
2022-01-22 16;0;0
2022-01-22 17;0;0
2022-01-22 18;0;0
2022-01-22 19;0;0
2022-01-22 20;3996;39,96
2022-01-22 21;7825;78,25
2022-01-22 22;7506;75,06
2022-01-22 23;6898;68,98
2022-01-22 24;6898;68,98
2022-01-23 01;6599;65,99
2022-01-23 02;6575;65,75
2022-01-23 03;6826;68,26
2022-01-23 04;6814;68,14
2022-01-23 05;6774;67,74
2022-01-23 06;6842;68,42
2022-01-23 07;7115;71,15
2022-01-23 08;5932;59,32
2022-01-23 09;124;1,24
2022-01-23 10;124;1,24
2022-01-23 11;62;0,62
2022-01-23 12;0;0
2022-01-23 13;0;0
2022-01-23 14;0;0
2022-01-23 15;0;0
2022-01-23 16;0;0
2022-01-23 17;0;0
2022-01-23 18;0;0
2022-01-23 19;335;3,35
2022-01-23 20;6753;67,53
2022-01-23 21;8716;87,16
2022-01-23 22;7813;78,13
2022-01-23 23;7813;78,13
2022-01-23 24;7813;78,13
2022-01-24 01;7741;77,41
2022-01-24 02;7741;77,41
2022-01-24 03;7741;77,41
2022-01-24 04;7741;77,41
2022-01-24 05;7832;78,32
2022-01-24 06;7877;78,77
2022-01-24 07;7924;79,24
2022-01-24 08;7919;79,19
2022-01-24 09;8095;80,95
2022-01-24 10;5634;56,34
2022-01-24 11;4185;41,85
2022-01-24 12;5253;52,53
2022-01-24 13;6362;63,62
2022-01-24 14;6954;69,54
2022-01-24 15;8356;83,56
2022-01-24 16;10219;102,19
2022-01-24 17;9956;99,56
2022-01-24 18;9956;99,56
2022-01-24 19;9565;95,65
2022-01-24 20;10623;106,23
2022-01-24 21;16119;161,19
2022-01-24 22;16119;161,19
2022-01-24 23;13590;135,9
2022-01-24 24;8070;80,7
2022-01-25 01;7332;73,32
2022-01-25 02;7565;75,65
2022-01-25 03;8226;82,26
2022-01-25 04;8618;86,18
